Food Item,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
Fish (Mackerel) Curry,Curry,150 g,222.9,19.2,6.6,14.2,1.0
Fish (Mackerel) Fry,Snack,150 g,294.6,24.8,5.6,19.0,0.8
Fish (Mackerel) Roast,Snack,150 g,280.4,24.0,7.8,20.0,1.0
Fish (Mackerel) Masala,Curry,150 g,250.0,23.7,8.3,15.8,1.2
Fish (Mackerel) Biryani,Rice Dish,250 g,478.3,21.1,51.7,16.8,1.7
Fish (Mackerel) Pepper Fry,Snack,150 g,267.4,25.3,7.5,17.9,1.1
Fish (Mackerel) 65,Snack,150 g,303.7,22.5,10.2,19.3,1.0
Fish (Mackerel) Ghee Roast,Snack,150 g,336.0,21.2,8.4,22.4,1.0
Fish (Mackerel) Stew,Curry,150 g,197.5,20.2,10.5,11.7,1.1
Fish (Mackerel) Varutharacha Curry,Curry,150 g,268.3,19.9,10.1,17.9,1.5
Fish (Pomfret) Curry,Curry,150 g,212.7,20.6,6.6,14.3,0.9
Fish (Pomfret) Fry,Snack,150 g,270.1,25.5,5.6,18.3,0.8
Fish (Pomfret) Roast,Snack,150 g,290.2,24.6,8.1,18.6,1.0
Fish (Pomfret) Masala,Curry,150 g,244.9,20.9,9.6,16.1,1.2
Fish (Pomfret) Biryani,Rice Dish,250 g,482.2,23.0,56.1,16.7,1.8
Fish (Pomfret) Pepper Fry,Snack,150 g,292.1,23.9,7.5,19.0,1.0
Fish (Pomfret) 65,Snack,150 g,294.1,21.4,9.6,20.2,1.0
Fish (Pomfret) Ghee Roast,Snack,150 g,297.4,24.8,9.0,21.9,1.1
Fish (Pomfret) Stew,Curry,150 g,225.9,17.8,10.3,11.6,1.3
Fish (Pomfret) Varutharacha Curry,Curry,150 g,288.0,19.5,10.8,16.2,1.6
Fish (Seer) Curry,Curry,150 g,240.9,19.5,7.4,15.8,0.9
Fish (Seer) Fry,Snack,150 g,284.1,25.2,6.2,19.2,0.7
Fish (Seer) Roast,Snack,150 g,309.6,26.8,8.1,20.2,1.0
Fish (Seer) Masala,Curry,150 g,280.3,23.3,9.0,15.5,1.2
Fish (Seer) Biryani,Rice Dish,250 g,429.8,21.1,49.7,16.1,1.7
Fish (Seer) Pepper Fry,Snack,150 g,309.4,22.9,6.6,19.7,1.1
Fish (Seer) 65,Snack,150 g,327.1,21.4,9.2,19.3,1.1
Fish (Seer) Ghee Roast,Snack,150 g,334.0,24.3,9.5,22.5,1.0
Fish (Seer) Stew,Curry,150 g,224.8,18.7,9.4,11.6,1.1
Fish (Seer) Varutharacha Curry,Curry,150 g,255.2,22.5,10.5,18.3,1.5
Prawn Fry,Snack,150 g,267.6,24.3,5.7,17.4,0.8
Prawn Roast,Snack,150 g,282.1,25.9,8.6,21.4,1.0
Prawn Masala,Curry,150 g,280.6,23.6,8.3,16.3,1.3
Prawn Biryani,Rice Dish,250 g,494.4,21.0,52.5,17.1,1.7
Prawn Pepper Fry,Snack,150 g,301.4,23.0,7.5,18.0,1.1
Prawn 65,Snack,150 g,289.6,22.7,10.2,20.2,1.0
Prawn Ghee Roast,Snack,150 g,308.0,22.1,8.4,20.2,0.9
Prawn Stew,Curry,150 g,193.2,18.7,10.4,12.9,1.3
Prawn Varutharacha Curry,Curry,150 g,269.7,20.6,10.1,15.9,1.5
Crab Curry,Curry,150 g,243.4,20.5,7.2,14.2,0.9
Crab Fry,Snack,150 g,295.5,23.2,5.8,19.3,0.7
Crab Roast,Snack,150 g,284.2,24.5,8.3,20.2,1.1
Crab Masala,Curry,150 g,243.1,22.3,9.2,16.0,1.1
Crab Biryani,Rice Dish,250 g,492.6,20.8,55.2,15.1,1.7
Crab Pepper Fry,Snack,150 g,276.3,22.8,7.2,19.7,1.0
Crab 65,Snack,150 g,298.4,21.2,9.6,17.6,1.0
Crab Ghee Roast,Snack,150 g,337.4,21.7,8.8,20.8,1.0
Crab Stew,Curry,150 g,215.4,19.3,9.5,11.1,1.1
Crab Varutharacha Curry,Curry,150 g,261.0,19.6,10.6,16.5,1.5
Egg Fry,Snack,150 g,297.3,23.5,5.9,17.3,0.8
Egg Roast,Snack,150 g,286.9,24.1,7.4,20.8,1.0
Egg Masala,Curry,150 g,242.8,21.5,9.1,17.2,1.2
Egg Biryani,Rice Dish,250 g,463.9,23.2,54.6,15.8,1.8
Egg Pepper Fry,Snack,150 g,307.0,23.9,7.4,18.9,0.9
Egg 65,Snack,150 g,330.0,22.8,10.0,20.2,1.0
Egg Ghee Roast,Snack,150 g,329.1,23.4,8.5,21.9,0.9
Egg Stew,Curry,150 g,226.3,20.4,10.5,11.3,1.2
Egg Varutharacha Curry,Curry,150 g,291.1,20.8,10.8,17.3,1.6
Squid Curry,Curry,150 g,221.1,21.3,7.5,14.0,1.0
Squid Fry,Snack,150 g,275.4,23.3,5.8,17.9,0.8
Squid Roast,Snack,150 g,313.8,25.5,8.0,19.7,1.0
Squid Masala,Curry,150 g,245.4,22.3,9.4,17.1,1.3
Squid Biryani,Rice Dish,250 g,464.6,20.6,50.2,16.1,1.8
Squid Pepper Fry,Snack,150 g,285.9,23.6,7.0,19.3,0.9
Squid 65,Snack,150 g,298.9,20.7,10.2,19.6,0.9
Squid Ghee Roast,Snack,150 g,339.9,22.4,8.6,21.8,1.1
Squid Stew,Curry,150 g,223.3,17.5,10.5,11.6,1.2
Squid Varutharacha Curry,Curry,150 g,269.6,21.7,9.4,18.0,1.4
Podi (Chutney Powder) Dosa,Breakfast,120 g,179.1,4.3,25.8,6.3,1.7
Mysore Masala Dosa,Breakfast,120 g,182.3,4.8,28.4,6.0,1.5
Cheese Dosa,Breakfast,120 g,169.7,4.5,25.4,6.3,1.7
Paneer Dosa,Breakfast,120 g,161.8,4.3,28.4,6.3,1.5
Egg Dosa,Breakfast,120 g,173.8,4.8,27.9,5.8,1.7
Ghee Roast Dosa,Breakfast,120 g,175.1,4.6,25.4,5.5,1.6
Podi Butter Dosa,Breakfast,120 g,177.6,4.3,28.6,6.1,1.6
Kal Dosa Dosa,Breakfast,120 g,165.6,4.8,28.1,6.2,1.5
Karam Dosa,Breakfast,120 g,171.8,4.3,27.3,6.4,1.7
Wheat Dosa,Breakfast,120 g,188.1,4.6,26.7,5.9,1.6
Moong Dal Dosa,Breakfast,120 g,168.1,4.5,27.8,6.3,1.6
Adai Dosa,Breakfast,120 g,163.9,4.5,27.7,6.3,1.6
Oats Dosa,Breakfast,120 g,179.1,4.6,26.1,5.6,1.5
Millet Dosa,Breakfast,120 g,188.7,4.6,28.6,5.8,1.7
Plain Idli,Breakfast,100 g,90.3,2.7,16.0,0.6,1.1
Ragi Idli,Breakfast,100 g,88.0,2.9,18.4,0.6,1.0
Oats Idli,Breakfast,100 g,83.5,2.6,17.6,0.6,1.0
Millet Idli,Breakfast,100 g,88.1,2.7,17.1,0.6,1.1
Moong Dal Idli,Breakfast,100 g,87.3,2.8,17.9,0.6,1.1
Vegetable Idli,Breakfast,100 g,80.7,2.6,16.0,0.6,1.0
Kanchipuram Idli,Breakfast,100 g,88.6,2.7,17.5,0.6,0.9
Podi Idli,Breakfast,100 g,83.0,2.9,16.5,0.6,1.0
Mini (Button) Idli,Breakfast,100 g,81.7,2.7,18.0,0.6,1.1
Thatte Idli,Breakfast,100 g,86.1,3.0,15.8,0.6,1.0
Onion Uttapam,Breakfast,120 g,164.1,4.1,24.2,4.2,1.7
Tomato Uttapam,Breakfast,120 g,146.0,4.0,24.6,4.5,1.7
Mixed Vegetable Uttapam,Breakfast,120 g,153.9,4.1,25.9,4.7,1.6
Cheese Uttapam,Breakfast,120 g,158.2,4.0,25.5,4.1,1.5
Podi Uttapam,Breakfast,120 g,161.5,4.0,26.1,4.5,1.7
Coconut Uttapam,Breakfast,120 g,144.8,4.3,25.5,4.4,1.7
Green Chilli Uttapam,Breakfast,120 g,152.1,3.9,23.8,4.4,1.5
Tamarind (Puliyodarai) Rice,Rice Dish,200 g,243.4,4.7,42.1,6.8,1.7
Mango Rice,Rice Dish,200 g,234.0,5.3,39.1,6.7,1.9
Coriander Rice,Rice Dish,200 g,249.0,5.1,37.9,6.9,1.8
Mint Rice,Rice Dish,200 g,222.2,5.3,38.4,7.0,1.7
Vangi Bath (Brinjal) Rice,Rice Dish,200 g,247.5,5.1,38.7,7.2,1.8
Bisi Bele Bath Rice,Rice Dish,200 g,231.2,5.1,37.7,7.4,1.7
Pudina Rice,Rice Dish,200 g,248.4,4.7,37.5,6.6,1.7
Gongura Rice,Rice Dish,200 g,228.5,4.8,40.1,6.7,1.9
Rasam Rice,Rice Dish,200 g,233.5,4.6,41.1,7.5,1.9
Ellu (Sesame) Rice,Rice Dish,200 g,246.5,4.7,37.4,7.0,1.9
Kara Chutney Rice,Rice Dish,200 g,224.7,4.8,38.3,7.5,1.7
Kadamba Rice,Rice Dish,200 g,238.6,4.7,37.9,6.5,1.7
Jeera Rice,Rice Dish,200 g,251.6,4.9,41.5,6.5,1.9
Ghee Rice,Rice Dish,200 g,222.6,5.3,41.0,6.6,1.8
Curry Leaf Rice,Rice Dish,200 g,237.6,5.1,42.4,6.5,1.9
Semiya Payasam,Sweet,100 g,288.8,3.3,42.8,10.4,0.8
Paal Payasam,Sweet,100 g,284.1,3.7,41.1,10.4,0.8
Pongal Sweet (Sakkarai Pongal),Sweet,100 g,273.7,3.2,41.2,11.6,0.9
Ada Pradhaman,Sweet,100 g,263.5,3.7,37.5,10.8,0.7
Halwa (Carrot),Sweet,100 g,269.3,3.4,41.3,11.3,0.8
Halwa (Beetroot),Sweet,100 g,283.4,3.5,43.1,11.3,0.8
Halwa (Wheat/Godhuma),Sweet,100 g,281.0,3.6,37.4,11.3,0.8
Coconut Barfi,Sweet,100 g,273.1,3.6,39.3,11.6,0.8
Rava Ladoo,Sweet,100 g,301.9,3.3,40.9,10.4,0.8
Boondi Ladoo,Sweet,100 g,295.8,3.7,37.3,11.0,0.8
Besan Ladoo,Sweet,100 g,301.1,3.2,38.2,11.3,0.8
Athirasam,Sweet,100 g,268.1,3.5,41.9,10.9,0.8
Nei Appam,Sweet,100 g,277.6,3.3,40.0,11.3,0.7
Kozhukattai (Sweet),Sweet,100 g,276.1,3.5,36.8,10.3,0.8
Modak,Sweet,100 g,285.3,3.4,40.1,10.5,0.8
Poornam Boorelu,Sweet,100 g,300.2,3.4,37.1,10.5,0.8
Jangiri,Sweet,100 g,282.7,3.6,39.8,11.3,0.8
Badusha,Sweet,100 g,262.7,3.6,38.2,10.7,0.8
Sunnundalu,Sweet,100 g,300.8,3.4,40.1,11.4,0.7
Palkova,Sweet,100 g,265.0,3.3,41.4,11.4,0.7
Milk Peda,Sweet,100 g,285.0,3.3,42.8,10.8,0.8
Kalakand,Sweet,100 g,292.6,3.6,37.5,10.8,0.9
Thattai,Snack,50 g,268.2,3.8,25.0,14.1,1.4
Mixture,Snack,50 g,267.4,4.2,24.9,14.0,1.6
Omapodi,Snack,50 g,237.1,4.1,25.9,13.2,1.5
Ribbon Pakoda,Snack,50 g,254.0,4.2,25.0,13.7,1.6
Seedai,Snack,50 g,266.6,4.2,24.1,15.0,1.6
Kai Murukku,Snack,50 g,248.1,3.8,24.7,14.4,1.6
Manoharam,Snack,50 g,242.0,4.1,26.4,14.5,1.6
Jackfruit Chips,Snack,50 g,256.9,4.3,25.6,15.0,1.5
Tapioca Chips,Snack,50 g,257.8,3.9,23.5,13.7,1.5
Sago Vada,Snack,50 g,252.8,4.1,24.7,14.6,1.6
Masala Vada,Snack,50 g,241.4,4.2,26.2,14.1,1.4
Parippu Vada,Snack,50 g,235.8,4.1,23.8,14.6,1.4
Ulundu Vada,Snack,50 g,241.5,3.8,26.4,14.4,1.5
Bonda,Snack,50 g,260.1,3.7,26.3,13.1,1.6
Bajji (Onion),Snack,50 g,259.6,4.2,26.0,14.1,1.4
Bajji (Chilli),Snack,50 g,261.4,4.2,24.2,14.4,1.6
Bajji (Potato),Snack,50 g,245.5,4.3,26.9,13.6,1.5
Bajji (Banana),Snack,50 g,230.5,3.8,25.5,14.6,1.6
Vazhakkai Bajji,Snack,50 g,263.2,4.3,25.8,14.3,1.6
Pakoda,Snack,50 g,251.9,4.1,26.1,15.0,1.5
Kachori (South Style),Snack,50 g,237.1,4.1,23.7,13.3,1.5
Samosa (South Style),Snack,50 g,245.1,4.0,25.2,13.2,1.5
Bread Bonda,Snack,50 g,240.2,3.9,25.8,13.2,1.4
Sweet Corn Bonda,Snack,50 g,242.9,3.7,26.7,14.3,1.5
Coriander Chutney,Condiment,30 g,68.4,1.3,3.7,5.1,1.0
Mint Chutney,Condiment,30 g,69.2,1.2,4.1,5.4,1.0
Garlic Chutney,Condiment,30 g,62.7,1.3,4.2,4.9,1.0
Curry Leaf Chutney,Condiment,30 g,64.4,1.1,4.3,4.8,1.0
Tamarind Chutney,Condiment,30 g,69.7,1.1,4.3,5.0,0.9
Gongura Chutney,Condiment,30 g,60.5,1.2,4.2,5.3,1.0
Raw Mango Chutney,Condiment,30 g,63.2,1.1,3.7,5.2,1.0
Amla Chutney,Condiment,30 g,65.8,1.1,3.8,4.9,1.0
Sesame Chutney,Condiment,30 g,64.3,1.1,4.1,5.0,1.0
Dry Coconut Chutney,Condiment,30 g,66.2,1.2,4.1,5.2,0.9
Drumstick Leaves Chutney,Condiment,30 g,67.8,1.2,3.9,5.1,1.0
Mango Pickle,Condiment,20 g,110.6,0.9,9.8,7.3,1.5
Lime Pickle,Condiment,20 g,118.1,0.9,10.3,7.5,1.6
Gooseberry (Amla) Pickle,Condiment,20 g,114.0,1.0,10.7,7.1,1.5
Garlic Pickle,Condiment,20 g,103.4,0.9,10.2,7.0,1.6
Ginger Pickle,Condiment,20 g,106.6,1.0,10.6,6.8,1.5
Mixed Vegetable Pickle,Condiment,20 g,112.6,1.0,9.5,6.7,1.6
Tomato Pickle,Condiment,20 g,104.6,0.9,10.5,7.4,1.6
Green Chilli Pickle,Condiment,20 g,117.6,1.1,9.9,7.1,1.4
Bitter Gourd Pickle,Condiment,20 g,102.4,0.9,10.4,7.0,1.5
Masala Chai,Beverage,200 ml,68.0,1.5,10.2,1.9,0.3
Sweet Lassi,Beverage,200 ml,67.2,1.4,10.4,2.0,0.3
Tender Coconut Water,Beverage,200 ml,65.9,1.6,10.6,2.0,0.3
Sugarcane Juice,Beverage,200 ml,67.8,1.5,9.5,2.0,0.3
Rasam (as drink),Beverage,200 ml,74.0,1.4,10.1,1.9,0.3
Panagam,Beverage,200 ml,65.3,1.4,9.2,2.0,0.3
Neer Mor,Beverage,200 ml,70.9,1.5,10.1,2.1,0.3
Badam Milk,Beverage,200 ml,70.5,1.6,10.0,2.1,0.3
Rose Milk,Beverage,200 ml,66.9,1.6,10.4,1.9,0.3
Jigarthanda,Beverage,200 ml,70.1,1.5,10.0,2.1,0.3
Sarasaparilla Sherbet (Nannari),Beverage,200 ml,73.4,1.5,9.5,2.0,0.3
Kambu Koozh (Pearl Millet Gruel),Beverage,200 ml,66.4,1.6,10.3,2.1,0.3
Ragi Malt,Beverage,200 ml,69.8,1.5,9.6,2.0,0.3
Sathu Maavu Drink,Beverage,200 ml,68.5,1.4,9.5,2.1,0.3
Beans Mor Kuzhambu,Curry,150 g,104.5,3.5,9.3,5.4,2.4
Beans Puli Kuzhambu,Curry,150 g,118.7,3.0,12.6,5.3,2.9
Beans Mezhukkupuratti,Curry,100 g,120.9,2.4,10.2,6.8,3.1
Beans Erissery,Curry,150 g,147.5,4.0,14.7,7.5,3.5
Beans Theeyal,Curry,150 g,146.5,3.7,13.0,9.0,3.1
Beans Podimas,Curry,100 g,95.0,2.8,8.5,4.7,2.6
Beans Vepudu,Snack,100 g,128.8,2.8,11.7,8.3,2.3
Beans Roast,Snack,100 g,143.5,2.9,13.5,9.0,2.2
Carrot Mor Kuzhambu,Curry,150 g,100.1,3.3,10.5,4.6,2.3
Carrot Puli Kuzhambu,Curry,150 g,116.4,2.8,12.2,4.6,3.0
Carrot Mezhukkupuratti,Curry,100 g,111.5,2.4,9.5,7.5,3.0
Carrot Erissery,Curry,150 g,141.4,3.7,15.5,7.2,3.4
Carrot Theeyal,Curry,150 g,140.1,3.5,14.0,9.5,2.8
Carrot Podimas,Curry,100 g,100.0,3.0,9.4,5.3,2.4
Carrot Vepudu,Snack,100 g,138.4,2.9,12.4,7.8,2.5
Carrot Roast,Snack,100 g,152.2,2.7,12.8,8.4,2.1
Cabbage Mor Kuzhambu,Curry,150 g,111.0,3.5,9.9,4.7,2.3
Cabbage Puli Kuzhambu,Curry,150 g,114.6,3.1,11.1,5.2,3.0
Cabbage Mezhukkupuratti,Curry,100 g,112.7,2.5,9.4,7.1,3.2
Cabbage Erissery,Curry,150 g,148.9,4.2,15.4,7.0,3.4
Cabbage Theeyal,Curry,150 g,139.0,3.5,12.4,9.4,3.1
Cabbage Podimas,Curry,100 g,93.2,3.0,9.3,5.2,2.6
Cabbage Vepudu,Snack,100 g,126.3,2.8,12.0,7.7,2.6
Cabbage Roast,Snack,100 g,144.8,3.0,12.8,8.6,2.3
Beetroot Mor Kuzhambu,Curry,150 g,109.9,3.5,9.4,4.6,2.6
Beetroot Puli Kuzhambu,Curry,150 g,118.5,2.9,11.7,4.7,3.1
Beetroot Mezhukkupuratti,Curry,100 g,115.3,2.6,9.9,6.8,2.9
Beetroot Erissery,Curry,150 g,144.0,4.2,14.8,7.3,3.5
Beetroot Theeyal,Curry,150 g,146.9,3.5,12.5,8.7,2.9
Beetroot Podimas,Curry,100 g,98.1,3.1,9.5,5.1,2.6
Beetroot Vepudu,Snack,100 g,133.8,3.1,11.4,7.6,2.5
Beetroot Roast,Snack,100 g,146.1,2.8,13.4,9.3,2.1
Brinjal Mor Kuzhambu,Curry,150 g,112.8,3.2,9.3,4.7,2.7
Brinjal Puli Kuzhambu,Curry,150 g,113.8,2.8,11.5,4.7,2.8
Brinjal Mezhukkupuratti,Curry,100 g,117.8,2.7,10.2,7.0,3.1
Brinjal Erissery,Curry,150 g,142.2,4.3,15.8,7.2,3.5
Brinjal Theeyal,Curry,150 g,142.8,3.6,13.6,8.7,2.8
Brinjal Podimas,Curry,100 g,96.5,3.0,8.6,4.7,2.3
Brinjal Vepudu,Snack,100 g,129.4,2.8,11.3,8.6,2.6
Brinjal Roast,Snack,100 g,146.5,2.8,13.2,9.0,2.3
Okra Mor Kuzhambu,Curry,150 g,97.8,3.3,9.7,5.3,2.7
Okra Puli Kuzhambu,Curry,150 g,112.2,3.2,11.6,5.1,2.9
Okra Mezhukkupuratti,Curry,100 g,128.3,2.5,9.6,6.9,2.8
Okra Erissery,Curry,150 g,130.4,3.9,16.1,7.3,3.8
Okra Theeyal,Curry,150 g,159.0,3.7,13.2,9.3,3.2
Okra Podimas,Curry,100 g,96.0,3.1,9.4,5.4,2.5
Okra Vepudu,Snack,100 g,134.2,3.0,11.1,7.5,2.3
Okra Roast,Snack,100 g,153.2,3.0,13.4,8.6,2.1
Drumstick Mor Kuzhambu,Curry,150 g,112.7,3.5,9.2,5.3,2.4
Drumstick Puli Kuzhambu,Curry,150 g,107.5,3.1,12.6,4.7,3.2
Drumstick Mezhukkupuratti,Curry,100 g,119.5,2.4,10.6,6.7,3.2
Drumstick Erissery,Curry,150 g,144.1,4.3,15.0,6.7,3.6
Drumstick Theeyal,Curry,150 g,158.9,3.3,12.4,8.6,3.1
Drumstick Podimas,Curry,100 g,89.8,2.8,9.6,5.1,2.6
Drumstick Vepudu,Snack,100 g,137.5,3.1,12.1,7.4,2.5
Drumstick Roast,Snack,100 g,152.9,2.8,14.0,9.6,2.3
Bottle Gourd Mor Kuzhambu,Curry,150 g,104.8,3.8,10.7,4.8,2.4
Bottle Gourd Puli Kuzhambu,Curry,150 g,116.4,2.8,12.6,5.0,3.0
Bottle Gourd Mezhukkupuratti,Curry,100 g,120.0,2.5,10.3,6.6,3.2
Bottle Gourd Erissery,Curry,150 g,144.4,4.0,15.5,6.5,3.3
Bottle Gourd Theeyal,Curry,150 g,151.9,3.4,13.2,8.7,3.0
Bottle Gourd Podimas,Curry,100 g,91.0,3.0,9.2,4.9,2.5
Bottle Gourd Vepudu,Snack,100 g,128.7,3.1,11.8,8.5,2.4
Bottle Gourd Roast,Snack,100 g,142.3,2.6,13.2,8.6,2.1
Ridge Gourd Mor Kuzhambu,Curry,150 g,101.1,3.4,9.9,4.9,2.4
Ridge Gourd Puli Kuzhambu,Curry,150 g,123.4,2.8,12.6,4.7,3.0
Ridge Gourd Mezhukkupuratti,Curry,100 g,129.5,2.6,10.0,7.2,3.1
Ridge Gourd Erissery,Curry,150 g,135.5,4.0,15.2,6.9,3.6
Ridge Gourd Theeyal,Curry,150 g,139.4,3.7,13.0,9.2,3.0
Ridge Gourd Podimas,Curry,100 g,92.5,2.9,9.1,5.3,2.4
Ridge Gourd Vepudu,Snack,100 g,124.6,2.8,12.7,8.6,2.4
Ridge Gourd Roast,Snack,100 g,151.8,2.9,12.3,9.4,2.1
Snake Gourd Mor Kuzhambu,Curry,150 g,107.9,3.5,10.4,5.3,2.5
Snake Gourd Puli Kuzhambu,Curry,150 g,111.1,3.1,11.3,4.7,3.1
Snake Gourd Mezhukkupuratti,Curry,100 g,116.9,2.6,10.1,7.4,2.8
Snake Gourd Erissery,Curry,150 g,132.4,3.8,14.6,6.8,3.4
Snake Gourd Theeyal,Curry,150 g,153.5,3.4,12.9,9.5,2.9
Snake Gourd Podimas,Curry,100 g,96.3,3.2,8.9,4.7,2.3
Snake Gourd Vepudu,Snack,100 g,139.9,3.1,12.8,8.3,2.3
Snake Gourd Roast,Snack,100 g,142.0,2.6,12.1,9.5,2.2
Bitter Gourd Mor Kuzhambu,Curry,150 g,97.0,3.4,10.4,4.7,2.4
Bitter Gourd Puli Kuzhambu,Curry,150 g,108.7,3.1,12.7,4.8,2.9
Bitter Gourd Mezhukkupuratti,Curry,100 g,115.9,2.6,9.4,7.4,2.8
Bitter Gourd Erissery,Curry,150 g,143.7,4.2,14.6,7.0,3.8
Bitter Gourd Theeyal,Curry,150 g,151.0,3.4,12.9,9.7,3.1
Bitter Gourd Podimas,Curry,100 g,90.1,3.0,9.2,5.1,2.5
Bitter Gourd Vepudu,Snack,100 g,135.5,3.1,11.6,7.8,2.5
Bitter Gourd Roast,Snack,100 g,157.3,2.8,12.7,8.7,2.1
Ash Gourd Mor Kuzhambu,Curry,150 g,96.6,3.7,10.6,4.9,2.5
Ash Gourd Puli Kuzhambu,Curry,150 g,106.0,3.2,12.9,5.0,2.8
Ash Gourd Mezhukkupuratti,Curry,100 g,118.7,2.4,9.6,6.4,2.9
Ash Gourd Erissery,Curry,150 g,138.0,4.0,14.7,6.6,3.6
Ash Gourd Theeyal,Curry,150 g,147.4,3.4,12.5,8.9,2.9
Ash Gourd Podimas,Curry,100 g,99.0,3.2,9.4,5.1,2.4
Ash Gourd Vepudu,Snack,100 g,140.2,3.1,11.8,8.5,2.4
Ash Gourd Roast,Snack,100 g,145.0,2.9,13.2,8.7,2.2
Pumpkin Mor Kuzhambu,Curry,150 g,99.8,3.2,9.3,5.0,2.4
Pumpkin Puli Kuzhambu,Curry,150 g,107.7,2.9,12.4,5.2,2.9
Pumpkin Mezhukkupuratti,Curry,100 g,113.3,2.5,9.7,6.8,3.1
Pumpkin Erissery,Curry,150 g,151.2,4.0,15.7,6.8,3.7
Pumpkin Theeyal,Curry,150 g,160.8,3.3,13.6,8.4,3.0
Pumpkin Podimas,Curry,100 g,90.3,3.2,9.5,5.3,2.3
Pumpkin Vepudu,Snack,100 g,140.8,2.9,12.5,7.9,2.6
Pumpkin Roast,Snack,100 g,138.8,2.8,13.6,9.0,2.4
Cauliflower Mor Kuzhambu,Curry,150 g,104.5,3.6,9.7,4.9,2.6
Cauliflower Puli Kuzhambu,Curry,150 g,106.6,3.2,12.0,4.8,3.1
Cauliflower Mezhukkupuratti,Curry,100 g,114.2,2.7,10.6,6.7,2.8
Cauliflower Erissery,Curry,150 g,143.0,3.9,14.2,6.7,3.3
Cauliflower Theeyal,Curry,150 g,156.9,3.2,12.0,9.4,3.0
Cauliflower Podimas,Curry,100 g,96.5,2.9,8.4,4.7,2.3
Cauliflower Vepudu,Snack,100 g,137.6,3.2,13.0,8.2,2.3
Cauliflower Roast,Snack,100 g,153.5,2.9,13.6,8.5,2.1
Raw Banana Mor Kuzhambu,Curry,150 g,113.1,3.7,10.4,5.2,2.5
Raw Banana Puli Kuzhambu,Curry,150 g,109.4,3.1,11.7,4.7,3.2
Raw Banana Mezhukkupuratti,Curry,100 g,119.7,2.5,9.7,7.2,2.9
Raw Banana Erissery,Curry,150 g,133.0,3.9,15.6,6.7,3.7
Raw Banana Theeyal,Curry,150 g,159.9,3.5,12.1,8.5,2.9
Raw Banana Podimas,Curry,100 g,91.4,2.9,8.3,5.1,2.5
Raw Banana Vepudu,Snack,100 g,128.2,2.8,12.7,8.4,2.4
Raw Banana Roast,Snack,100 g,155.3,2.9,13.1,8.8,2.2
Yam Mor Kuzhambu,Curry,150 g,105.0,3.5,10.2,4.9,2.6
Yam Puli Kuzhambu,Curry,150 g,107.8,3.0,11.2,5.3,2.8
Yam Mezhukkupuratti,Curry,100 g,127.2,2.4,10.0,6.6,3.0
Yam Erissery,Curry,150 g,147.5,4.1,15.1,7.2,3.4
Yam Theeyal,Curry,150 g,146.8,3.6,12.1,9.6,2.9
Yam Podimas,Curry,100 g,94.9,3.2,8.4,5.2,2.3
Yam Vepudu,Snack,100 g,136.3,3.2,11.8,7.8,2.6
Yam Roast,Snack,100 g,157.8,2.7,12.0,8.4,2.1
Colocasia Mor Kuzhambu,Curry,150 g,112.5,3.8,9.4,5.2,2.5
Colocasia Puli Kuzhambu,Curry,150 g,109.3,3.0,11.5,5.1,2.8
Colocasia Mezhukkupuratti,Curry,100 g,124.8,2.5,9.4,7.2,2.9
Colocasia Erissery,Curry,150 g,139.1,4.1,15.9,6.6,3.3
Colocasia Theeyal,Curry,150 g,147.6,3.4,12.3,9.7,3.0
Colocasia Podimas,Curry,100 g,92.8,2.9,9.7,4.9,2.4
Colocasia Vepudu,Snack,100 g,140.7,3.0,12.4,8.1,2.5
Colocasia Roast,Snack,100 g,143.1,2.9,13.9,8.6,2.4
Cluster Beans Mor Kuzhambu,Curry,150 g,104.1,3.4,10.4,5.4,2.5
Cluster Beans Puli Kuzhambu,Curry,150 g,115.3,3.2,11.6,4.8,2.9
Cluster Beans Mezhukkupuratti,Curry,100 g,126.8,2.3,10.5,7.2,2.9
Cluster Beans Erissery,Curry,150 g,141.2,4.0,16.0,6.6,3.2
Cluster Beans Theeyal,Curry,150 g,146.5,3.3,12.7,9.1,2.9
Cluster Beans Podimas,Curry,100 g,99.7,2.8,8.9,5.3,2.6
Cluster Beans Vepudu,Snack,100 g,139.8,3.1,11.4,8.4,2.6
Cluster Beans Roast,Snack,100 g,151.8,3.0,13.2,8.7,2.3
Broad Beans Mor Kuzhambu,Curry,150 g,106.3,3.3,9.3,5.2,2.4
Broad Beans Puli Kuzhambu,Curry,150 g,120.8,3.0,12.7,5.3,2.9
Broad Beans Mezhukkupuratti,Curry,100 g,122.9,2.5,9.2,7.3,2.9
Broad Beans Erissery,Curry,150 g,135.6,3.7,15.1,6.6,3.5
Broad Beans Theeyal,Curry,150 g,143.3,3.2,13.5,8.8,3.0
Broad Beans Podimas,Curry,100 g,96.4,3.0,8.6,4.8,2.5
Broad Beans Vepudu,Snack,100 g,127.1,2.8,12.1,7.4,2.5
Broad Beans Roast,Snack,100 g,140.0,2.8,13.6,8.5,2.1
Ivy Gourd Mor Kuzhambu,Curry,150 g,106.0,3.5,10.2,4.8,2.5
Ivy Gourd Puli Kuzhambu,Curry,150 g,119.3,2.9,11.2,5.2,2.9
